timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
6.10;134.41;0;26129071#3_0;40.76;0.00;8.81;DEFAULT_VEHTYPE;-1.657944;42.807257
6.10;160.96;1;:313082424_1_0;1.27;0.00;7.69;DEFAULT_VEHTYPE;-1.645942;42.813407
6.10;309.95;2;27710535#1_0;22.58;0.00;8.00;DEFAULT_VEHTYPE;-1.656305;42.807687
6.10;69.28;3;817341820#0_0;15.67;0.00;6.44;DEFAULT_VEHTYPE;-1.641531;42.806544
6.10;112.66;4;189609904#1_0;10.09;0.00;4.34;DEFAULT_VEHTYPE;-1.652454;42.808669
6.10;316.67;5;1180739361#0_0;6.72;0.00;2.64;DEFAULT_VEHTYPE;-1.643268;42.810776
6.10;249.14;6;-163596461#1_0;5.13;0.00;0.25;DEFAULT_VEHTYPE;-1.655962;42.813556
6.20;134.41;0;26129071#3_0;41.64;0.00;8.72;DEFAULT_VEHTYPE;-1.657936;42.807251
6.20;160.92;1;:313082424_1_0;2.04;0.00;7.69;DEFAULT_VEHTYPE;-1.645939;42.813401
6.20;309.95;2;27710535#1_0;23.40;0.00;8.16;DEFAULT_VEHTYPE;-1.656313;42.807691
6.20;69.28;3;817341820#0_0;16.32;0.00;6.58;DEFAULT_VEHTYPE;-1.641523;42.806546
6.20;112.66;4;189609904#1_0;10.54;0.00;4.53;DEFAULT_VEHTYPE;-1.652449;42.808667
6.20;316.67;5;1180739361#0_0;7.01;0.00;2.86;DEFAULT_VEHTYPE;-1.643271;42.810778
6.20;249.14;6;-163596461#1_0;5.18;0.00;0.50;DEFAULT_VEHTYPE;-1.655962;42.813556
6.30;134.41;0;26129071#3_0;42.52;0.00;8.79;DEFAULT_VEHTYPE;-1.657929;42.807246
6.30;160.88;1;:313082424_1_0;2.81;0.00;7.70;DEFAULT_VEHTYPE;-1.645936;42.813394
6.30;309.95;2;27710535#1_0;24.23;0.00;8.35;DEFAULT_VEHTYPE;-1.656320;42.807696
6.30;69.28;3;817341820#0_0;17.00;0.00;6.72;DEFAULT_VEHTYPE;-1.641516;42.806548
6.30;112.66;4;189609904#1_0;11.01;0.00;4.67;DEFAULT_VEHTYPE;-1.652443;42.808666
6.30;316.67;5;1180739361#0_0;7.31;0.00;3.01;DEFAULT_VEHTYPE;-1.643273;42.810780
6.30;249.14;6;-163596461#1_0;5.25;0.00;0.76;DEFAULT_VEHTYPE;-1.655963;42.813556
6.40;134.41;0;26129071#3_0;43.40;0.00;8.81;DEFAULT_VEHTYPE;-1.657921;42.807240
6.40;160.85;1;:313082424_1_0;3.59;0.00;7.81;DEFAULT_VEHTYPE;-1.645933;42.813387
6.40;309.95;2;27710535#1_0;25.08;0.00;8.49;DEFAULT_VEHTYPE;-1.656328;42.807701
6.40;69.28;3;817341820#0_0;17.69;0.00;6.91;DEFAULT_VEHTYPE;-1.641508;42.806550
